instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
14530,2012-09-02,3,1,9,14,0,0,0,3,0.72,0.697,0.79,0.0896,249,208,457
14531,2012-09-02,3,1,9,15,0,0,0,3,0.74,0.7121,0.74,0.1343,179,176,355
14532,2012-09-02,3,1,9,16,0,0,0,1,0.74,0.697,0.7,0.0,222,252,474
14533,2012-09-02,3,1,9,17,0,0,0,1,0.76,0.7273,0.66,0.0896,219,284,503
14534,2012-09-02,3,1,9,18,0,0,0,1,0.74,0.7121,0.74,0.0,227,273,500
14535,2012-09-02,3,1,9,19,0,0,0,2,0.7,0.6667,0.84,0.2239,140,152,292
14536,2012-09-02,3,1,9,20,0,0,0,2,0.7,0.6667,0.84,0.1642,63,41,104
14537,2012-09-02,3,1,9,21,0,0,0,1,0.7,0.6515,0.7,0.1642,79,92,171
14538,2012-09-02,3,1,9,22,0,0,0,3,0.68,0.6364,0.83,0.1343,66,100,166
14539,2012-09-02,3,1,9,23,0,0,0,3,0.66,0.5909,0.89,0.0896,53,70,123
14540,2012-09-03,3,1,9,0,1,1,0,2,0.66,0.5909,0.94,0.0,42,62,104
14541,2012-09-03,3,1,9,1,1,1,0,2,0.68,0.6364,0.89,0.1642,18,37,55
14542,2012-09-03,3,1,9,2,1,1,0,1,0.66,0.5909,0.89,0.1045,10,30,40
14543,2012-09-03,3,1,9,3,1,1,0,1,0.66,0.5909,0.89,0.1343,6,22,28
14544,2012-09-03,3,1,9,4,1,1,0,1,0.66,0.5909,0.89,0.0896,6,5,11
14545,2012-09-03,3,1,9,5,1,1,0,1,0.66,0.5909,0.89,0.0,1,3,4
14546,2012-09-03,3,1,9,6,1,1,0,1,0.66,0.5909,0.94,0.0,3,12,15
14547,2012-09-03,3,1,9,7,1,1,0,1,0.68,0.6364,0.85,0.0,6,37,43
14548,2012-09-03,3,1,9,8,1,1,0,2,0.7,0.6667,0.84,0.1045,36,91,127
14549,2012-09-03,3,1,9,9,1,1,0,2,0.7,0.6667,0.84,0.1343,71,158,229
14550,2012-09-03,3,1,9,10,1,1,0,2,0.74,0.7121,0.74,0.2239,135,224,359
14551,2012-09-03,3,1,9,11,1,1,0,2,0.74,0.697,0.7,0.2836,187,272,459
14552,2012-09-03,3,1,9,12,1,1,0,2,0.76,0.7121,0.62,0.2985,191,352,543
14553,2012-09-03,3,1,9,13,1,1,0,2,0.76,0.7273,0.66,0.2537,209,357,566
14554,2012-09-03,3,1,9,14,1,1,0,1,0.74,0.697,0.7,0.2985,163,349,512
14555,2012-09-03,3,1,9,15,1,1,0,1,0.74,0.697,0.7,0.2239,168,281,449
14556,2012-09-03,3,1,9,16,1,1,0,1,0.74,0.697,0.7,0.2239,165,335,500
14557,2012-09-03,3,1,9,17,1,1,0,1,0.74,0.697,0.7,0.1343,181,317,498
14558,2012-09-03,3,1,9,18,1,1,0,1,0.74,0.697,0.66,0.1642,145,337,482
14559,2012-09-03,3,1,9,19,1,1,0,1,0.72,0.697,0.74,0.194,73,301,374
14560,2012-09-03,3,1,9,20,1,1,0,1,0.72,0.6818,0.76,0.1045,78,183,261
14561,2012-09-03,3,1,9,21,1,1,0,1,0.72,0.6818,0.76,0.1045,42,142,184
14562,2012-09-03,3,1,9,22,1,1,0,2,0.7,0.6667,0.84,0.1343,17,104,121
14563,2012-09-03,3,1,9,23,1,1,0,2,0.7,0.6667,0.84,0.2537,12,58,70
14564,2012-09-04,3,1,9,0,0,2,1,2,0.7,0.6667,0.84,0.2537,10,19,29
14565,2012-09-04,3,1,9,1,0,2,1,1,0.68,0.6364,0.82,0.1343,15,9,24
14566,2012-09-04,3,1,9,2,0,2,1,1,0.68,0.6364,0.82,0.1343,1,4,5
14567,2012-09-04,3,1,9,3,0,2,1,2,0.66,0.5909,0.89,0.0896,1,9,10
14568,2012-09-04,3,1,9,4,0,2,1,2,0.66,0.5909,0.89,0.0,0,8,8
14569,2012-09-04,3,1,9,5,0,2,1,2,0.66,0.5909,0.89,0.0,1,37,38
14570,2012-09-04,3,1,9,6,0,2,1,2,0.68,0.6364,0.89,0.1045,7,165,172
14571,2012-09-04,3,1,9,7,0,2,1,2,0.68,0.6364,0.89,0.1045,13,480,493
14572,2012-09-04,3,1,9,8,0,2,1,1,0.7,0.6667,0.84,0.1642,15,617,632
14573,2012-09-04,3,1,9,9,0,2,1,2,0.72,0.697,0.79,0.2239,30,293,323
14574,2012-09-04,3,1,9,10,0,2,1,2,0.72,0.697,0.74,0.2537,42,130,172
14575,2012-09-04,3,1,9,11,0,2,1,2,0.74,0.697,0.7,0.2836,39,159,198
14576,2012-09-04,3,1,9,12,0,2,1,1,0.76,0.7273,0.7,0.2836,54,233,287
14577,2012-09-04,3,1,9,13,0,2,1,1,0.8,0.7576,0.55,0.4478,72,203,275
14578,2012-09-04,3,1,9,14,0,2,1,1,0.8,0.7576,0.55,0.4179,72,202,274
14579,2012-09-04,3,1,9,15,0,2,1,1,0.8,0.7727,0.59,0.4627,68,224,292
14580,2012-09-04,3,1,9,16,0,2,1,1,0.76,0.7273,0.7,0.4179,61,397,458
14581,2012-09-04,3,1,9,17,0,2,1,1,0.76,0.7273,0.7,0.3582,110,746,856
14582,2012-09-04,3,1,9,18,0,2,1,1,0.76,0.7424,0.75,0.2239,94,745,839
14583,2012-09-04,3,1,9,19,0,2,1,1,0.76,0.7273,0.7,0.2239,50,502,552
14584,2012-09-04,3,1,9,20,0,2,1,1,0.74,0.697,0.7,0.2537,47,338,385
14585,2012-09-04,3,1,9,21,0,2,1,1,0.74,0.7121,0.74,0.2537,28,240,268
14586,2012-09-04,3,1,9,22,0,2,1,1,0.74,0.697,0.7,0.2836,25,154,179
14587,2012-09-04,3,1,9,23,0,2,1,1,0.72,0.697,0.74,0.2985,12,83,95
14588,2012-09-05,3,1,9,0,0,3,1,1,0.72,0.697,0.74,0.2537,10,27,37
14589,2012-09-05,3,1,9,1,0,3,1,1,0.7,0.6667,0.84,0.194,2,11,13
14590,2012-09-05,3,1,9,2,0,3,1,1,0.7,0.6667,0.84,0.194,0,9,9
14591,2012-09-05,3,1,9,3,0,3,1,1,0.7,0.6667,0.79,0.2836,0,4,4
14592,2012-09-05,3,1,9,4,0,3,1,1,0.7,0.6667,0.79,0.2836,2,3,5
14593,2012-09-05,3,1,9,5,0,3,1,2,0.7,0.6667,0.79,0.2985,1,39,40
14594,2012-09-05,3,1,9,6,0,3,1,1,0.7,0.6667,0.79,0.2836,7,203,210
14595,2012-09-05,3,1,9,7,0,3,1,2,0.7,0.6667,0.79,0.2537,11,489,500
14596,2012-09-05,3,1,9,8,0,3,1,1,0.72,0.697,0.74,0.194,33,692,725
14597,2012-09-05,3,1,9,9,0,3,1,1,0.74,0.697,0.7,0.2537,27,263,290
14598,2012-09-05,3,1,9,10,0,3,1,2,0.76,0.7273,0.7,0.1642,54,181,235
14599,2012-09-05,3,1,9,11,0,3,1,2,0.78,0.7424,0.62,0.1642,61,156,217
14600,2012-09-05,3,1,9,12,0,3,1,1,0.78,0.7727,0.7,0.1045,49,217,266
14601,2012-09-05,3,1,9,13,0,3,1,1,0.8,0.7879,0.63,0.1642,50,184,234
14602,2012-09-05,3,1,9,14,0,3,1,1,0.82,0.7879,0.56,0.1045,34,177,211
14603,2012-09-05,3,1,9,15,0,3,1,1,0.78,0.7727,0.7,0.194,41,204,245
14604,2012-09-05,3,1,9,16,0,3,1,1,0.76,0.7273,0.7,0.2537,86,344,430
14605,2012-09-05,3,1,9,17,0,3,1,1,0.76,0.7273,0.66,0.2537,83,780,863
14606,2012-09-05,3,1,9,18,0,3,1,1,0.76,0.7424,0.75,0.194,82,757,839
14607,2012-09-05,3,1,9,19,0,3,1,1,0.74,0.697,0.7,0.1642,64,598,662
14608,2012-09-05,3,1,9,20,0,3,1,1,0.72,0.7121,0.84,0.1642,55,357,412
14609,2012-09-05,3,1,9,21,0,3,1,1,0.72,0.697,0.79,0.0,18,278,296
14610,2012-09-05,3,1,9,22,0,3,1,1,0.72,0.697,0.79,0.0,38,181,219
14611,2012-09-05,3,1,9,23,0,3,1,1,0.7,0.6667,0.84,0.0896,24,126,150
14612,2012-09-06,3,1,9,0,0,4,1,2,0.7,0.6667,0.84,0.0896,30,35,65
14613,2012-09-06,3,1,9,1,0,4,1,2,0.7,0.6667,0.84,0.0,2,16,18
14614,2012-09-06,3,1,9,2,0,4,1,1,0.72,0.697,0.79,0.0,1,7,8
14615,2012-09-06,3,1,9,3,0,4,1,1,0.7,0.6667,0.84,0.1045,0,9,9
14616,2012-09-06,3,1,9,4,0,4,1,2,0.7,0.6667,0.84,0.0896,0,8,8
14617,2012-09-06,3,1,9,5,0,4,1,2,0.7,0.6667,0.84,0.194,3,35,38
14618,2012-09-06,3,1,9,6,0,4,1,2,0.7,0.6667,0.84,0.0896,11,189,200
14619,2012-09-06,3,1,9,7,0,4,1,2,0.7,0.6667,0.84,0.1045,21,461,482
14620,2012-09-06,3,1,9,8,0,4,1,3,0.7,0.6667,0.79,0.0,24,622,646
14621,2012-09-06,3,1,9,9,0,4,1,3,0.66,0.5909,0.94,0.1343,8,115,123
14622,2012-09-06,3,1,9,10,0,4,1,3,0.66,0.5909,0.94,0.1343,9,40,49
14623,2012-09-06,3,1,9,11,0,4,1,3,0.7,0.6667,0.84,0.1642,10,52,62
14624,2012-09-06,3,1,9,12,0,4,1,2,0.72,0.697,0.79,0.2239,11,126,137
14625,2012-09-06,3,1,9,13,0,4,1,2,0.72,0.697,0.79,0.1045,39,152,191
14626,2012-09-06,3,1,9,14,0,4,1,1,0.74,0.7121,0.74,0.0896,38,178,216
14627,2012-09-06,3,1,9,15,0,4,1,1,0.74,0.697,0.66,0.194,42,228,270
14628,2012-09-06,3,1,9,16,0,4,1,1,0.74,0.697,0.7,0.2239,42,374,416
14629,2012-09-06,3,1,9,17,0,4,1,1,0.74,0.697,0.7,0.2537,67,741,808
14630,2012-09-06,3,1,9,18,0,4,1,1,0.72,0.6818,0.7,0.2537,74,761,835
14631,2012-09-06,3,1,9,19,0,4,1,1,0.68,0.6364,0.74,0.2537,54,504,558
14632,2012-09-06,3,1,9,20,0,4,1,1,0.66,0.6061,0.78,0.2239,50,356,406
14633,2012-09-06,3,1,9,21,0,4,1,1,0.64,0.5758,0.89,0.1642,32,240,272
14634,2012-09-06,3,1,9,22,0,4,1,1,0.64,0.5758,0.89,0.1642,24,193,217
14635,2012-09-06,3,1,9,23,0,4,1,1,0.64,0.5758,0.89,0.1642,19,150,169
14636,2012-09-07,3,1,9,0,0,5,1,1,0.64,0.5758,0.89,0.1343,17,79,96
14637,2012-09-07,3,1,9,1,0,5,1,1,0.62,0.5606,0.88,0.1045,10,19,29
14638,2012-09-07,3,1,9,2,0,5,1,1,0.62,0.5758,0.83,0.0896,1,10,11
14639,2012-09-07,3,1,9,3,0,5,1,1,0.62,0.5758,0.83,0.0896,0,9,9
14640,2012-09-07,3,1,9,4,0,5,1,1,0.62,0.5606,0.88,0.0,1,7,8
14641,2012-09-07,3,1,9,5,0,5,1,1,0.62,0.5606,0.88,0.0,1,39,40
14642,2012-09-07,3,1,9,6,0,5,1,1,0.62,0.5606,0.88,0.1045,5,135,140
14643,2012-09-07,3,1,9,7,0,5,1,1,0.64,0.5758,0.89,0.1045,21,465,486
14644,2012-09-07,3,1,9,8,0,5,1,1,0.66,0.6061,0.83,0.1045,29,690,719
14645,2012-09-07,3,1,9,9,0,5,1,1,0.7,0.6667,0.79,0.1343,33,311,344
14646,2012-09-07,3,1,9,10,0,5,1,1,0.72,0.697,0.74,0.1343,53,171,224
14647,2012-09-07,3,1,9,11,0,5,1,1,0.76,0.7121,0.62,0.1343,81,215,296
14648,2012-09-07,3,1,9,12,0,5,1,1,0.78,0.7424,0.59,0.1642,76,247,323
14649,2012-09-07,3,1,9,13,0,5,1,1,0.8,0.7727,0.59,0.2537,71,283,354
14650,2012-09-07,3,1,9,14,0,5,1,1,0.8,0.7727,0.59,0.2537,66,187,253
14651,2012-09-07,3,1,9,15,0,5,1,1,0.8,0.7576,0.55,0.2537,66,265,331
14652,2012-09-07,3,1,9,16,0,5,1,1,0.8,0.7576,0.55,0.2836,75,395,470
14653,2012-09-07,3,1,9,17,0,5,1,1,0.78,0.7424,0.59,0.3284,88,684,772
14654,2012-09-07,3,1,9,18,0,5,1,1,0.76,0.7121,0.62,0.2985,95,697,792
14655,2012-09-07,3,1,9,19,0,5,1,1,0.74,0.6818,0.62,0.2836,70,498,568
14656,2012-09-07,3,1,9,20,0,5,1,1,0.72,0.6818,0.66,0.2239,51,340,391
14657,2012-09-07,3,1,9,21,0,5,1,1,0.7,0.6667,0.74,0.1642,55,246,301
14658,2012-09-07,3,1,9,22,0,5,1,1,0.7,0.6667,0.74,0.2239,52,247,299
14659,2012-09-07,3,1,9,23,0,5,1,1,0.66,0.5909,0.89,0.2537,28,220,248
14660,2012-09-08,3,1,9,0,0,6,0,1,0.66,0.5909,0.89,0.2537,20,130,150
14661,2012-09-08,3,1,9,1,0,6,0,2,0.66,0.5909,0.89,0.2836,10,107,117
14662,2012-09-08,3,1,9,2,0,6,0,1,0.66,0.5909,0.89,0.3284,9,68,77
14663,2012-09-08,3,1,9,3,0,6,0,2,0.66,0.5909,0.89,0.2239,3,40,43
14664,2012-09-08,3,1,9,4,0,6,0,2,0.66,0.5909,0.94,0.2239,3,8,11
14665,2012-09-08,3,1,9,5,0,6,0,2,0.66,0.5909,0.94,0.2537,2,13,15
14666,2012-09-08,3,1,9,6,0,6,0,2,0.66,0.5909,0.89,0.2836,8,26,34
14667,2012-09-08,3,1,9,7,0,6,0,1,0.66,0.5909,0.89,0.2836,11,71,82
14668,2012-09-08,3,1,9,8,0,6,0,1,0.7,0.6667,0.79,0.3284,33,197,230
14669,2012-09-08,3,1,9,9,0,6,0,1,0.7,0.6667,0.74,0.3881,87,261,348
14670,2012-09-08,3,1,9,10,0,6,0,1,0.74,0.697,0.7,0.3881,100,322,422
14671,2012-09-08,3,1,9,11,0,6,0,1,0.76,0.7121,0.62,0.4478,173,405,578
14672,2012-09-08,3,1,9,12,0,6,0,1,0.8,0.7576,0.55,0.4925,220,474,694
14673,2012-09-08,3,1,9,13,0,6,0,1,0.82,0.7727,0.52,0.5224,233,435,668
14674,2012-09-08,3,1,9,14,0,6,0,1,0.82,0.7727,0.52,0.4478,260,366,626
14675,2012-09-08,3,1,9,15,0,6,0,3,0.56,0.5303,0.88,0.2537,175,337,512
14676,2012-09-08,3,1,9,16,0,6,0,3,0.56,0.5303,0.88,0.194,19,95,114
14677,2012-09-08,3,1,9,17,0,6,0,3,0.58,0.5455,0.83,0.194,52,119,171
14678,2012-09-08,3,1,9,18,0,6,0,3,0.58,0.5455,0.83,0.1343,27,140,167
14679,2012-09-08,3,1,9,19,0,6,0,3,0.58,0.5455,0.88,0.1045,28,187,215
14680,2012-09-08,3,1,9,20,0,6,0,2,0.58,0.5455,0.88,0.0896,28,166,194
14681,2012-09-08,3,1,9,21,0,6,0,2,0.6,0.5606,0.83,0.1642,26,155,181
14682,2012-09-08,3,1,9,22,0,6,0,2,0.58,0.5455,0.78,0.2985,18,176,194
14683,2012-09-08,3,1,9,23,0,6,0,2,0.58,0.5455,0.73,0.1642,12,121,133
14684,2012-09-09,3,1,9,0,0,0,0,2,0.56,0.5303,0.73,0.194,18,106,124
14685,2012-09-09,3,1,9,1,0,0,0,1,0.56,0.5303,0.73,0.2239,20,104,124
14686,2012-09-09,3,1,9,2,0,0,0,1,0.54,0.5152,0.77,0.2836,15,81,96
14687,2012-09-09,3,1,9,3,0,0,0,1,0.54,0.5152,0.73,0.2239,14,32,46
14688,2012-09-09,3,1,9,4,0,0,0,1,0.52,0.5,0.77,0.2537,12,16,28
14689,2012-09-09,3,1,9,5,0,0,0,1,0.52,0.5,0.77,0.194,16,39,55
14690,2012-09-09,3,1,9,6,0,0,0,1,0.52,0.5,0.77,0.194,11,24,35
14691,2012-09-09,3,1,9,7,0,0,0,1,0.54,0.5152,0.73,0.1642,20,50,70
14692,2012-09-09,3,1,9,8,0,0,0,1,0.58,0.5455,0.68,0.2239,27,143,170
14693,2012-09-09,3,1,9,9,0,0,0,1,0.62,0.6061,0.61,0.2537,85,214,299
14694,2012-09-09,3,1,9,10,0,0,0,1,0.64,0.6212,0.57,0.2985,172,323,495
14695,2012-09-09,3,1,9,11,0,0,0,1,0.66,0.6212,0.47,0.2537,194,391,585
14696,2012-09-09,3,1,9,12,0,0,0,1,0.66,0.6212,0.47,0.0,247,510,757
14697,2012-09-09,3,1,9,13,0,0,0,1,0.68,0.6364,0.39,0.0,238,491,729
14698,2012-09-09,3,1,9,14,0,0,0,1,0.72,0.6515,0.3,0.2836,232,415,647
14699,2012-09-09,3,1,9,15,0,0,0,1,0.72,0.6515,0.32,0.2537,284,412,696
14700,2012-09-09,3,1,9,16,0,0,0,1,0.68,0.6364,0.36,0.2836,228,473,701
14701,2012-09-09,3,1,9,17,0,0,0,1,0.7,0.6364,0.37,0.2537,213,458,671
14702,2012-09-09,3,1,9,18,0,0,0,1,0.66,0.6212,0.36,0.2537,156,404,560
14703,2012-09-09,3,1,9,19,0,0,0,1,0.66,0.6212,0.36,0.2537,134,362,496
14704,2012-09-09,3,1,9,20,0,0,0,1,0.62,0.6212,0.41,0.2836,91,265,356
14705,2012-09-09,3,1,9,21,0,0,0,1,0.6,0.6212,0.46,0.2239,57,149,206
14706,2012-09-09,3,1,9,22,0,0,0,1,0.58,0.5455,0.49,0.2537,64,125,189
14707,2012-09-09,3,1,9,23,0,0,0,1,0.56,0.5303,0.52,0.2836,22,70,92
14708,2012-09-10,3,1,9,0,0,1,1,1,0.56,0.5303,0.52,0.2836,6,35,41
14709,2012-09-10,3,1,9,1,0,1,1,1,0.54,0.5152,0.6,0.194,7,11,18
14710,2012-09-10,3,1,9,2,0,1,1,1,0.54,0.5152,0.6,0.3582,11,6,17
14711,2012-09-10,3,1,9,3,0,1,1,1,0.52,0.5,0.68,0.2836,5,7,12
14712,2012-09-10,3,1,9,4,0,1,1,1,0.52,0.5,0.68,0.2836,1,4,5
14713,2012-09-10,3,1,9,5,0,1,1,1,0.5,0.4848,0.72,0.2537,4,36,40
14714,2012-09-10,3,1,9,6,0,1,1,1,0.5,0.4848,0.72,0.1343,8,172,180
14715,2012-09-10,3,1,9,7,0,1,1,1,0.52,0.5,0.68,0.2239,20,427,447
14716,2012-09-10,3,1,9,8,0,1,1,1,0.56,0.5303,0.6,0.2836,33,697,730
14717,2012-09-10,3,1,9,9,0,1,1,1,0.6,0.6212,0.53,0.2985,40,321,361
14718,2012-09-10,3,1,9,10,0,1,1,1,0.62,0.6212,0.5,0.2836,42,168,210
14719,2012-09-10,3,1,9,11,0,1,1,1,0.62,0.6212,0.43,0.2985,69,167,236
14720,2012-09-10,3,1,9,12,0,1,1,1,0.64,0.6212,0.44,0.3881,76,256,332
14721,2012-09-10,3,1,9,13,0,1,1,1,0.64,0.6212,0.38,0.2239,72,251,323
14722,2012-09-10,3,1,9,14,0,1,1,1,0.66,0.6212,0.36,0.2836,107,233,340
14723,2012-09-10,3,1,9,15,0,1,1,1,0.66,0.6212,0.31,0.3881,115,231,346
14724,2012-09-10,3,1,9,16,0,1,1,1,0.66,0.6212,0.34,0.3284,108,380,488
14725,2012-09-10,3,1,9,17,0,1,1,1,0.66,0.6212,0.34,0.3284,127,744,871
14726,2012-09-10,3,1,9,18,0,1,1,1,0.62,0.6212,0.35,0.2985,111,857,968
14727,2012-09-10,3,1,9,19,0,1,1,1,0.62,0.6212,0.38,0.2985,71,562,633
14728,2012-09-10,3,1,9,20,0,1,1,1,0.6,0.6212,0.4,0.194,34,356,390
14729,2012-09-10,3,1,9,21,0,1,1,1,0.56,0.5303,0.49,0.1642,29,256,285
14730,2012-09-10,3,1,9,22,0,1,1,1,0.54,0.5152,0.52,0.1343,15,144,159
14731,2012-09-10,3,1,9,23,0,1,1,1,0.54,0.5152,0.52,0.0,7,86,93
14732,2012-09-11,3,1,9,0,0,2,1,1,0.52,0.5,0.59,0.1045,5,27,32
14733,2012-09-11,3,1,9,1,0,2,1,1,0.5,0.4848,0.63,0.0,0,10,10
14734,2012-09-11,3,1,9,2,0,2,1,1,0.48,0.4697,0.77,0.1642,1,5,6
14735,2012-09-11,3,1,9,3,0,2,1,1,0.48,0.4697,0.67,0.1343,1,7,8
14736,2012-09-11,3,1,9,4,0,2,1,1,0.48,0.4697,0.72,0.1045,1,8,9
14737,2012-09-11,3,1,9,5,0,2,1,1,0.46,0.4545,0.72,0.0896,3,41,44
14738,2012-09-11,3,1,9,6,0,2,1,1,0.46,0.4545,0.77,0.1045,11,200,211
14739,2012-09-11,3,1,9,7,0,2,1,1,0.5,0.4848,0.72,0.1045,24,572,596
14740,2012-09-11,3,1,9,8,0,2,1,1,0.54,0.5152,0.68,0.0896,48,702,750
14741,2012-09-11,3,1,9,9,0,2,1,1,0.6,0.6212,0.49,0.0,35,323,358
14742,2012-09-11,3,1,9,10,0,2,1,1,0.62,0.6212,0.38,0.0,54,142,196
14743,2012-09-11,3,1,9,11,0,2,1,1,0.64,0.6212,0.33,0.0896,60,187,247
14744,2012-09-11,3,1,9,12,0,2,1,1,0.64,0.6212,0.33,0.0,62,254,316
14745,2012-09-11,3,1,9,13,0,2,1,1,0.66,0.6212,0.29,0.0896,72,256,328
14746,2012-09-11,3,1,9,14,0,2,1,1,0.68,0.6212,0.3,0.0896,74,181,255
14747,2012-09-11,3,1,9,15,0,2,1,1,0.7,0.6364,0.28,0.1045,73,253,326
14748,2012-09-11,3,1,9,16,0,2,1,1,0.7,0.6364,0.28,0.1343,99,437,536
14749,2012-09-11,3,1,9,17,0,2,1,1,0.7,0.6364,0.28,0.0,168,802,970
14750,2012-09-11,3,1,9,18,0,2,1,1,0.64,0.6212,0.36,0.1642,110,767,877
14751,2012-09-11,3,1,9,19,0,2,1,1,0.62,0.6212,0.41,0.194,56,540,596
14752,2012-09-11,3,1,9,20,0,2,1,1,0.58,0.5455,0.56,0.1343,40,421,461
14753,2012-09-11,3,1,9,21,0,2,1,1,0.56,0.5303,0.6,0.1045,28,282,310
14754,2012-09-11,3,1,9,22,0,2,1,1,0.56,0.5303,0.64,0.1045,27,189,216
14755,2012-09-11,3,1,9,23,0,2,1,1,0.54,0.5152,0.68,0.1045,18,91,109
14756,2012-09-12,3,1,9,0,0,3,1,1,0.52,0.5,0.72,0.1045,8,41,49
14757,2012-09-12,3,1,9,1,0,3,1,1,0.52,0.5,0.72,0.1045,2,19,21
14758,2012-09-12,3,1,9,2,0,3,1,1,0.52,0.5,0.72,0.0896,2,9,11
14759,2012-09-12,3,1,9,3,0,3,1,1,0.5,0.4848,0.77,0.0896,0,7,7
14760,2012-09-12,3,1,9,4,0,3,1,1,0.5,0.4848,0.72,0.0896,0,5,5
14761,2012-09-12,3,1,9,5,0,3,1,1,0.5,0.4848,0.72,0.0896,4,44,48
14762,2012-09-12,3,1,9,6,0,3,1,1,0.5,0.4848,0.72,0.0896,6,199,205
14763,2012-09-12,3,1,9,7,0,3,1,1,0.52,0.5,0.72,0.0,24,533,557
14764,2012-09-12,3,1,9,8,0,3,1,1,0.56,0.5303,0.64,0.1045,43,727,770
14765,2012-09-12,3,1,9,9,0,3,1,1,0.6,0.6061,0.64,0.1343,50,278,328
14766,2012-09-12,3,1,9,10,0,3,1,1,0.62,0.6061,0.61,0.1343,57,148,205
14767,2012-09-12,3,1,9,11,0,3,1,1,0.66,0.6212,0.5,0.194,51,181,232
14768,2012-09-12,3,1,9,12,0,3,1,1,0.68,0.6364,0.36,0.1343,88,264,352
14769,2012-09-12,3,1,9,13,0,3,1,1,0.7,0.6364,0.34,0.1343,85,238,323
14770,2012-09-12,3,1,9,14,0,3,1,1,0.7,0.6364,0.37,0.1642,78,200,278
