dteday,weathersit,cnt,weathersit_label
2011-11-27,1,3071,Clear
2011-11-28,1,3867,Clear
2011-11-29,2,2914,Misty
2011-11-30,1,3613,Clear
2011-12-01,1,3727,Clear
2011-12-02,1,3940,Clear
2011-12-03,1,3614,Clear
2011-12-04,1,3485,Clear
2011-12-05,2,3811,Misty
2011-12-06,3,2594,Light Rain
2011-12-07,3,705,Light Rain
2011-12-08,1,3322,Clear
2011-12-09,1,3620,Clear
2011-12-10,1,3190,Clear
2011-12-11,1,2743,Clear
2011-12-12,1,3310,Clear
2011-12-13,1,3523,Clear
2011-12-14,2,3740,Misty
2011-12-15,2,3709,Misty
2011-12-16,2,3577,Misty
2011-12-17,2,2739,Misty
2011-12-18,1,2431,Clear
2011-12-19,1,3403,Clear
2011-12-20,2,3750,Misty
2011-12-21,2,2660,Misty
2011-12-22,2,3068,Misty
2011-12-23,1,2209,Clear
2011-12-24,1,1011,Clear
2011-12-25,1,754,Clear
2011-12-26,1,1317,Clear
2011-12-27,2,1162,Misty
2011-12-28,1,2302,Clear
2011-12-29,1,2423,Clear
2011-12-30,1,2999,Clear
2011-12-31,1,2485,Clear
2012-01-01,1,2294,Clear
2012-01-02,1,1951,Clear
2012-01-03,1,2236,Clear
2012-01-04,2,2368,Misty
2012-01-05,1,3272,Clear
2012-01-06,1,4098,Clear
2012-01-07,1,4521,Clear
2012-01-08,1,3425,Clear
2012-01-09,2,2376,Misty
2012-01-10,1,3598,Clear
2012-01-11,2,2177,Misty
2012-01-12,2,4097,Misty
2012-01-13,1,3214,Clear
2012-01-14,1,2493,Clear
2012-01-15,1,2311,Clear
2012-01-16,1,2298,Clear
2012-01-17,2,2935,Misty
2012-01-18,1,3376,Clear
2012-01-19,1,3292,Clear
2012-01-20,2,3163,Misty
2012-01-21,2,1301,Misty
2012-01-22,2,1977,Misty
2012-01-23,2,2432,Misty
2012-01-24,1,4339,Clear
2012-01-25,1,4270,Clear
2012-01-26,2,4075,Misty
2012-01-27,2,3456,Misty
2012-01-28,1,4023,Clear
2012-01-29,1,3243,Clear
2012-01-30,1,3624,Clear
2012-01-31,1,4509,Clear
2012-02-01,1,4579,Clear
2012-02-02,2,3761,Misty
2012-02-03,1,4151,Clear
2012-02-04,2,2832,Misty
2012-02-05,2,2947,Misty
2012-02-06,1,3784,Clear
2012-02-07,1,4375,Clear
2012-02-08,2,2802,Misty
2012-02-09,1,3830,Clear
2012-02-10,2,3831,Misty
2012-02-11,3,2169,Light Rain
2012-02-12,1,1529,Clear
2012-02-13,1,3422,Clear
2012-02-14,2,3922,Misty
2012-02-15,1,4169,Clear
2012-02-16,2,3005,Misty
2012-02-17,1,4154,Clear
2012-02-18,1,4318,Clear
2012-02-19,2,2689,Misty
2012-02-20,1,3129,Clear
2012-02-21,1,3777,Clear
2012-02-22,1,4773,Clear
2012-02-23,1,5062,Clear
2012-02-24,2,3487,Misty
2012-02-25,1,2732,Clear
2012-02-26,1,3389,Clear
2012-02-27,1,4322,Clear
2012-02-28,1,4363,Clear
2012-02-29,2,1834,Misty
2012-03-01,1,4990,Clear
2012-03-02,2,3194,Misty
2012-03-03,2,4066,Misty
2012-03-04,1,3423,Clear
2012-03-05,1,3333,Clear
2012-03-06,1,3956,Clear
2012-03-07,1,4916,Clear
2012-03-08,1,5382,Clear
2012-03-09,2,4569,Misty
2012-03-10,1,4118,Clear
2012-03-11,1,4911,Clear
2012-03-12,1,5298,Clear
2012-03-13,1,5847,Clear
2012-03-14,1,6312,Clear
2012-03-15,1,6192,Clear
2012-03-16,2,4378,Misty
2012-03-17,2,7836,Misty
2012-03-18,2,5892,Misty
2012-03-19,1,6153,Clear
2012-03-20,1,6093,Clear
2012-03-21,2,6230,Misty
2012-03-22,1,6871,Clear
2012-03-23,2,8362,Misty
2012-03-24,2,3372,Misty
2012-03-25,2,4996,Misty
2012-03-26,1,5558,Clear
2012-03-27,1,5102,Clear
2012-03-28,1,5698,Clear
2012-03-29,1,6133,Clear
2012-03-30,2,5459,Misty
2012-03-31,2,6235,Misty
2012-04-01,2,6041,Misty
2012-04-02,1,5936,Clear
2012-04-03,1,6772,Clear
2012-04-04,1,6436,Clear
2012-04-05,1,6457,Clear
2012-04-06,1,6460,Clear
2012-04-07,1,6857,Clear
2012-04-08,1,5169,Clear
2012-04-09,1,5585,Clear
2012-04-10,1,5918,Clear
2012-04-11,1,4862,Clear
2012-04-12,1,5409,Clear
2012-04-13,1,6398,Clear
2012-04-14,1,7460,Clear
2012-04-15,1,7132,Clear
2012-04-16,1,6370,Clear
2012-04-17,1,6691,Clear
2012-04-18,2,4367,Misty
2012-04-19,1,6565,Clear
2012-04-20,1,7290,Clear
2012-04-21,1,6624,Clear
2012-04-22,3,1027,Light Rain
2012-04-23,2,3214,Misty
2012-04-24,1,5633,Clear
2012-04-25,1,6196,Clear
2012-04-26,2,5026,Misty
2012-04-27,1,6233,Clear
2012-04-28,2,4220,Misty
2012-04-29,1,6304,Clear
2012-04-30,2,5572,Misty
2012-05-01,2,5740,Misty
2012-05-02,1,6169,Clear
2012-05-03,2,6421,Misty
2012-05-04,1,6296,Clear
2012-05-05,2,6883,Misty
2012-05-06,2,6359,Misty
2012-05-07,2,6273,Misty
2012-05-08,2,5728,Misty
2012-05-09,2,4717,Misty
2012-05-10,1,6572,Clear
2012-05-11,1,7030,Clear
2012-05-12,1,7429,Clear
2012-05-13,1,6118,Clear
2012-05-14,2,2843,Misty
2012-05-15,2,5115,Misty
2012-05-16,1,7424,Clear
2012-05-17,1,7384,Clear
2012-05-18,1,7639,Clear
2012-05-19,1,8294,Clear
2012-05-20,1,7129,Clear
2012-05-21,2,4359,Misty
2012-05-22,2,6073,Misty
2012-05-23,2,5260,Misty
2012-05-24,1,6770,Clear
2012-05-25,1,6734,Clear
2012-05-26,1,6536,Clear
2012-05-27,1,6591,Clear
2012-05-28,1,6043,Clear
2012-05-29,1,5743,Clear
2012-05-30,2,6855,Misty
2012-05-31,1,7338,Clear
2012-06-01,2,4127,Misty
2012-06-02,1,8120,Clear
2012-06-03,1,7641,Clear
2012-06-04,1,6998,Clear
2012-06-05,2,7001,Misty
2012-06-06,1,7055,Clear
2012-06-07,1,7494,Clear
2012-06-08,1,7736,Clear
2012-06-09,1,7498,Clear
2012-06-10,1,6598,Clear
2012-06-11,2,6664,Misty
2012-06-12,2,4972,Misty
2012-06-13,1,7421,Clear
2012-06-14,1,7363,Clear
2012-06-15,1,7665,Clear
2012-06-16,1,7702,Clear
2012-06-17,1,6978,Clear
2012-06-18,2,5099,Misty
2012-06-19,1,6825,Clear
2012-06-20,1,6211,Clear
2012-06-21,1,5905,Clear
2012-06-22,1,5823,Clear
2012-06-23,1,7458,Clear
2012-06-24,1,6891,Clear
2012-06-25,1,6779,Clear
2012-06-26,1,7442,Clear
2012-06-27,1,7335,Clear
2012-06-28,1,6879,Clear
2012-06-29,1,5463,Clear
2012-06-30,1,5687,Clear
2012-07-01,1,5531,Clear
2012-07-02,1,6227,Clear
2012-07-03,1,6660,Clear
2012-07-04,1,7403,Clear
2012-07-05,1,6241,Clear
2012-07-06,1,6207,Clear
2012-07-07,1,4840,Clear
2012-07-08,1,4672,Clear
2012-07-09,2,6569,Misty
2012-07-10,2,6290,Misty
2012-07-11,1,7264,Clear
2012-07-12,1,7446,Clear
2012-07-13,2,7499,Misty
2012-07-14,2,6969,Misty
2012-07-15,1,6031,Clear
2012-07-16,1,6830,Clear
2012-07-17,1,6786,Clear
2012-07-18,1,5713,Clear
2012-07-19,1,6591,Clear
2012-07-20,2,5870,Misty
2012-07-21,3,4459,Light Rain
2012-07-22,2,7410,Misty
2012-07-23,1,6966,Clear
2012-07-24,1,7592,Clear
2012-07-25,1,8173,Clear
2012-07-26,1,6861,Clear
2012-07-27,1,6904,Clear
2012-07-28,1,6685,Clear
2012-07-29,1,6597,Clear
2012-07-30,1,7105,Clear
2012-07-31,1,7216,Clear
2012-08-01,1,7580,Clear
2012-08-02,1,7261,Clear
2012-08-03,2,7175,Misty
2012-08-04,1,6824,Clear
2012-08-05,1,5464,Clear
2012-08-06,2,7013,Misty
2012-08-07,2,7273,Misty
2012-08-08,2,7534,Misty
2012-08-09,1,7286,Clear
2012-08-10,2,5786,Misty
2012-08-11,2,6299,Misty
2012-08-12,1,6544,Clear
2012-08-13,1,6883,Clear
2012-08-14,1,6784,Clear
2012-08-15,1,7347,Clear
2012-08-16,1,7605,Clear
2012-08-17,1,7148,Clear
2012-08-18,1,7865,Clear
2012-08-19,2,4549,Misty
2012-08-20,2,6530,Misty
2012-08-21,1,7006,Clear
2012-08-22,1,7375,Clear
2012-08-23,1,7765,Clear
2012-08-24,2,7582,Misty
2012-08-25,2,6053,Misty
2012-08-26,2,5255,Misty
2012-08-27,1,6917,Clear
2012-08-28,1,7040,Clear
2012-08-29,1,7697,Clear
2012-08-30,1,7713,Clear
2012-08-31,1,7350,Clear
2012-09-01,2,6140,Misty
2012-09-02,2,5810,Misty
2012-09-03,1,6034,Clear
2012-09-04,1,6864,Clear
2012-09-05,1,7112,Clear
2012-09-06,2,6203,Misty
2012-09-07,1,7504,Clear
2012-09-08,2,5976,Misty
2012-09-09,1,8227,Clear
2012-09-10,1,7525,Clear
2012-09-11,1,7767,Clear
2012-09-12,1,7870,Clear
2012-09-13,1,7804,Clear
2012-09-14,1,8009,Clear
2012-09-15,1,8714,Clear
2012-09-16,1,7333,Clear
2012-09-17,2,6869,Misty
2012-09-18,2,4073,Misty
2012-09-19,1,7591,Clear
2012-09-20,1,7720,Clear
2012-09-21,1,8167,Clear
2012-09-22,1,8395,Clear
2012-09-23,1,7907,Clear
2012-09-24,1,7436,Clear
2012-09-25,1,7538,Clear
2012-09-26,1,7733,Clear
2012-09-27,2,7393,Misty
2012-09-28,2,7415,Misty
2012-09-29,1,8555,Clear
2012-09-30,1,6889,Clear
2012-10-01,2,6778,Misty
2012-10-02,3,4639,Light Rain
2012-10-03,2,7572,Misty
2012-10-04,2,7328,Misty
2012-10-05,1,8156,Clear
2012-10-06,1,7965,Clear
2012-10-07,2,3510,Misty
2012-10-08,2,5478,Misty
2012-10-09,2,6392,Misty
2012-10-10,1,7691,Clear
2012-10-11,1,7570,Clear
2012-10-12,1,7282,Clear
2012-10-13,1,7109,Clear
2012-10-14,1,6639,Clear
2012-10-15,2,5875,Misty
2012-10-16,1,7534,Clear
2012-10-17,1,7461,Clear
2012-10-18,2,7509,Misty
2012-10-19,2,5424,Misty
2012-10-20,1,8090,Clear
2012-10-21,1,6824,Clear
2012-10-22,1,7058,Clear
2012-10-23,1,7466,Clear
2012-10-24,1,7693,Clear
2012-10-25,2,7359,Misty
2012-10-26,2,7444,Misty
2012-10-27,2,7852,Misty
2012-10-28,2,4459,Misty
2012-10-29,3,22,Light Rain
2012-10-30,2,1096,Misty
2012-10-31,2,5566,Misty
2012-11-01,2,5986,Misty
2012-11-02,1,5847,Clear
2012-11-03,2,5138,Misty
2012-11-04,1,5107,Clear
2012-11-05,1,5259,Clear
2012-11-06,1,5686,Clear
2012-11-07,2,5035,Misty
2012-11-08,1,5315,Clear
2012-11-09,1,5992,Clear
2012-11-10,1,6536,Clear
2012-11-11,1,6852,Clear
2012-11-12,1,6269,Clear
2012-11-13,2,4094,Misty
2012-11-14,1,5495,Clear
2012-11-15,2,5445,Misty
2012-11-16,1,5698,Clear
2012-11-17,1,5629,Clear
2012-11-18,1,4669,Clear
2012-11-19,2,5499,Misty
2012-11-20,2,5634,Misty
2012-11-21,1,5146,Clear
2012-11-22,1,2425,Clear
2012-11-23,1,3910,Clear
2012-11-24,1,2277,Clear
2012-11-25,1,2424,Clear
2012-11-26,1,5087,Clear
2012-11-27,2,3959,Misty
2012-11-28,1,5260,Clear
2012-11-29,1,5323,Clear
2012-11-30,1,5668,Clear
2012-12-01,2,5191,Misty
2012-12-02,2,4649,Misty
2012-12-03,1,6234,Clear
2012-12-04,1,6606,Clear
2012-12-05,1,5729,Clear
2012-12-06,1,5375,Clear
2012-12-07,2,5008,Misty
2012-12-08,2,5582,Misty
2012-12-09,2,3228,Misty
2012-12-10,2,5170,Misty
2012-12-11,2,5501,Misty
2012-12-12,2,5319,Misty
2012-12-13,1,5532,Clear
2012-12-14,1,5611,Clear
2012-12-15,1,5047,Clear
2012-12-16,2,3786,Misty
2012-12-17,2,4585,Misty
2012-12-18,1,5557,Clear
2012-12-19,1,5267,Clear
2012-12-20,2,4128,Misty
2012-12-21,2,3623,Misty
2012-12-22,1,1749,Clear
2012-12-23,1,1787,Clear
2012-12-24,2,920,Misty
2012-12-25,2,1013,Misty
2012-12-26,3,441,Light Rain
2012-12-27,2,2114,Misty
2012-12-28,2,3095,Misty
2012-12-29,2,1341,Misty
2012-12-30,1,1796,Clear
2012-12-31,2,2729,Misty
